"1" "2" "3"
"" 3 7 1
"ABANDONED BUILDING" 3620 607 143
"AIRCRAFT" 17 12 18
"AIRPORT/AIRCRAFT" 2669 877 528
"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA" 71 22 9
"AIRPORT BUILDING NON-TERMINAL - SECURE AREA" 18 16 9
"AIRPORT EXTERIOR - NON-SECURE AREA" 61 33 26
"AIRPORT EXTERIOR - SECURE AREA" 20 12 6
"AIRPORT PARKING LOT" 48 13 10
"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA" 684 44 32
"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA" 23 14 5
"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA" 3 2 2
"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA" 147 20 16
"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA" 136 115 61
"AIRPORT TRANSPORTATION SYSTEM (ATS)" 16 3 2
"AIRPORT VENDING ESTABLISHMENT" 30 57 4
"ALLEY" 34457 6686 7995
"ANIMAL HOSPITAL" 31 12 26
"APARTMENT" 27126 12188 62836
"APPLIANCE STORE" 375 71 31
"ATHLETIC CLUB" 170 102 73
"ATM (AUTOMATIC TELLER MACHINE)" 42 53 22
"AUTO" 0 0 373
"BANK" 639 2322 901
"BANQUET HALL" 0 0 1
"BARBERSHOP" 299 212 281
"BARBER SHOP/BEAUTY SALON" 0 0 5
"BAR OR TAVERN" 2663 773 3796
"BASEMENT" 0 0 23
"BOAT/WATERCRAFT" 41 30 18
"BOWLING ALLEY" 68 17 42
"BRIDGE" 121 1 25
"CAR WASH" 275 81 97
"CEMETARY" 39 7 7
"CHA APARTMENT" 6260 688 3532
"CHA BREEZEWAY" 0 0 2
"CHA GROUNDS" 0 0 32
"CHA HALLWAY" 0 0 27
"CHA HALLWAY/STAIRWELL/ELEVATOR" 15485 200 1000
"CHA LOBBY" 0 0 4
"CHA PARKING LOT" 0 0 19
"CHA PARKING LOT/GROUNDS" 31228 930 2206
"CHA PLAY LOT" 0 0 3
"CHA STAIRWELL" 0 0 5
"CHURCH" 0 0 1
"CHURCH PROPERTY" 0 0 1
"CHURCH/SYNAGOGUE/PLACE OF WORSHIP" 899 427 279
"CLEANING STORE" 360 104 201
"CLUB" 0 0 12
"COACH HOUSE" 0 0 3
"COIN OPERATED MACHINE" 106 30 44
"COLLEGE/UNIVERSITY GROUNDS" 898 166 209
"COLLEGE/UNIVERSITY RESIDENCE HALL" 211 34 57
"COMMERCIAL / BUSINESS OFFICE" 1979 1335 434
"CONSTRUCTION SITE" 972 532 54
"CONVENIENCE STORE" 3647 242 622
"COUNTY JAIL" 0 0 1
"CREDIT UNION" 16 41 1
"CTA BUS" 1185 1104 1723
"CTA BUS STOP" 483 87 366
"CTA GARAGE / OTHER PROPERTY" 1277 1828 296
"CTA L PLATFORM" 0 0 3
"CTA L TRAIN" 0 0 2
"CTA PLATFORM" 5805 11200 1645
"CTA PROPERTY" 0 0 2
"CTA STATION" 384 296 136
"CTA TRACKS - RIGHT OF WAY" 22 0 0
"CTA TRAIN" 1372 658 1003
"CURRENCY EXCHANGE" 596 1651 145
"DAY CARE CENTER" 85 63 41
"DELIVERY TRUCK" 79 28 16
"DEPARTMENT STORE" 41174 2604 775
"DRIVEWAY" 0 0 3
"DRIVEWAY - RESIDENTIAL" 942 445 326
"DRUG STORE" 15148 515 764
"DUMPSTER" 0 0 4
"ELEVATOR" 0 0 1
"FACTORY" 0 0 2
"FACTORY/MANUFACTURING BUILDING" 580 262 141
"FEDERAL BUILDING" 138 38 34
"FIRE STATION" 60 22 13
"FOREST PRESERVE" 45 53 15
"FUNERAL PARLOR" 0 0 1
"GANGWAY" 0 0 31
"GARAGE" 0 0 25
"GARAGE/AUTO REPAIR" 0 0 2
"GAS STATION" 16148 1910 2835
"GAS STATION DRIVE/PROP." 0 0 16
"GOVERNMENT BUILDING" 0 0 1
"GOVERNMENT BUILDING/PROPERTY" 2301 456 697
"GROCERY FOOD STORE" 40320 1881 2195
"HALLWAY" 0 0 46
"HIGHWAY/EXPRESSWAY" 205 51 46
"HOSPITAL" 0 0 3
"HOSPITAL BUILDING/GROUNDS" 2382 471 1281
"HOTEL" 0 0 12
"HOTEL/MOTEL" 3317 2553 1613
"HOUSE" 0 0 359
"JAIL / LOCK-UP FACILITY" 238 26 177
"JUNK YARD/GARBAGE DUMP" 0 0 1
"LAKE" 0 0 2
"LAKEFRONT/WATERFRONT/RIVERBANK" 95 27 41
"LAUNDRY ROOM" 0 0 2
"LIBRARY" 1165 284 238
"LIQUOR STORE" 0 0 4
"LIVERY AUTO" 0 0 1
"LIVERY STAND OFFICE" 0 0 2
"MEDICAL/DENTAL OFFICE" 377 161 146
"MOTEL" 0 0 3
"MOVIE HOUSE/THEATER" 316 100 212
"NEWSSTAND" 20 10 5
"NURSING HOME" 0 0 4
"NURSING HOME/RETIREMENT HOME" 509 94 243
"OFFICE" 0 0 7
"OTHER" 25636 7180 7092
"OTHER COMMERCIAL TRANSPORTATION" 573 113 164
"OTHER RAILROAD PROP / TRAIN DEPOT" 2116 600 117
"PARKING LOT" 0 0 76
"PARKING LOT/GARAGE(NON.RESID.)" 16574 5598 5207
"PARK PROPERTY" 6426 1855 3095
"PAWN SHOP" 35 45 9
"POLICE FACILITY/VEH PARKING LOT" 6130 457 1254
"POOLROOM" 0 0 1
"POOL ROOM" 52 14 31
"PORCH" 0 0 98
"PUBLIC GRAMMAR SCHOOL" 0 0 1
"PUBLIC HIGH SCHOOL" 0 0 2
"RAILROAD PROPERTY" 0 0 4
"RESIDENCE" 46104 22368 61038
"RESIDENCE-GARAGE" 2598 3424 526
"RESIDENCE PORCH/HALLWAY" 20390 2357 7926
"RESIDENTIAL YARD (FRONT/BACK)" 6613 1729 2073
"RESTAURANT" 12863 2944 3968
"RETAIL STORE" 0 0 39
"RIVER BANK" 0 0 1
"ROOMING HOUSE" 0 0 1
"SAVINGS AND LOAN" 23 21 10
"SCHOOL PRIVATE GROUNDS" 1488 444 871
"SCHOOL PUBLIC GROUNDS" 12989 6163 20327
"SCHOOL YARD" 0 0 3
"SEWER" 0 0 2
"SIDEWALK" 152832 20021 46906
"SMALL RETAIL STORE" 23717 2677 2652
"SPORTS ARENA/STADIUM" 890 108 631
"STAIRWELL" 0 0 6
"STREET" 178310 100902 54739
"TAVERN" 0 0 15
"TAVERN/LIQUOR STORE" 6801 435 1328
"TAXICAB" 225 902 293
"TAXI CAB" 0 0 4
"TRAILER" 0 0 2
"TRUCK" 0 0 3
"VACANT LOT" 0 0 37
"VACANT LOT/LAND" 5124 1017 531
"VEHICLE-COMMERCIAL" 295 190 115
"VEHICLE - DELIVERY TRUCK" 1 0 1
"VEHICLE NON-COMMERCIAL" 13516 3522 2565
"VEHICLE - OTHER RIDE SERVICE" 6 7 9
"VESTIBULE" 0 0 9
"WAREHOUSE" 1373 451 117
"WOODED AREA" 0 0 1
"YARD" 0 0 69
"YMCA" 0 0 1
