Month,Year,IUCR,Lat,Lon,Arrest
08,2014,0560,41.842,-87.616,0
08,2014,1305,41.911,-87.64,1
08,2014,0810,41.887,-87.629,0
08,2014,1310,41.856,-87.719,0
08,2014,0460,41.89,-87.628,0
08,2014,0820,41.849,-87.714,0
08,2014,0486,41.794,-87.625,0
08,2014,031A,41.935,-87.645,1
08,2014,0486,41.807,-87.623,0
08,2014,0320,41.924,-87.64,0
08,2014,0320,41.919,-87.784,0
08,2014,0486,41.962,-87.672,0
08,2014,0320,41.93,-87.806,0
08,2014,0820,41.93,-87.686,0
08,2014,2091,41.708,-87.6,1
08,2014,0560,41.903,-87.756,0
08,2014,051A,41.766,-87.68,0
08,2014,1360,41.747,-87.591,1
08,2014,0820,41.786,-87.685,0
08,2014,031A,41.774,-87.632,0
08,2014,0610,41.858,-87.71,0
08,2014,1320,41.848,-87.726,0
08,2014,1330,41.91,-87.741,1
08,2014,1506,41.882,-87.738,1
08,2014,143A,41.654,-87.595,1
08,2014,1310,41.883,-87.673,0
08,2014,0820,41.717,-87.656,0
08,2014,0650,41.77,-87.628,0
08,2014,0320,41.781,-87.652,0
