"1","2","3"
"",680,899,8
"ABANDONED BUILDING",1260,3050,552
"AIRCRAFT",167,159,61
"AIRPORT/AIRCRAFT",3218,4571,726
"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",138,271,34
"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",89,186,19
"AIRPORT EXTERIOR - NON-SECURE AREA",130,201,62
"AIRPORT EXTERIOR - SECURE AREA",83,67,16
"AIRPORT PARKING LOT",225,173,28
"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",189,245,53
"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",118,250,12
"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA",11,30,3
"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",99,129,21
"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA",276,435,94
"AIRPORT TRANSPORTATION SYSTEM (ATS)",18,29,2
"AIRPORT VENDING ESTABLISHMENT",78,436,21
"ALLEY",21630,12461,39533
"ANIMAL HOSPITAL",174,195,108
"APARTMENT",120464,161431,176802
"APPLIANCE STORE",434,492,133
"ATHLETIC CLUB",1600,4886,255
"ATM (AUTOMATIC TELLER MACHINE)",266,5669,192
"AUTO",0,0,628
"AUTO / BOAT / RV DEALERSHIP",0,1,0
"BANK",1852,14719,1090
"BARBERSHOP",2069,2588,1134
"BARBER SHOP/BEAUTY SALON",0,0,7
"BAR OR TAVERN",5519,11032,7780
"BASEMENT",0,0,6
"BOAT/WATERCRAFT",148,289,46
"BOWLING ALLEY",135,248,88
"BRIDGE",55,31,93
"CAR WASH",786,619,524
"CEMETARY",148,88,12
"CHA APARTMENT",7502,4241,10126
"CHA BREEZEWAY",0,0,1
"CHA ELEVATOR",0,0,2
"CHA GROUNDS",0,0,6
"CHA HALLWAY",0,0,6
"CHA HALLWAY/STAIRWELL/ELEVATOR",2164,324,4296
"CHA LOBBY",0,0,2
"CHA PARKING LOT",0,0,18
"CHA PARKING LOT/GROUNDS",5603,1400,8563
"CHA STAIRWELL",0,0,3
"CHURCH",0,0,3
"CHURCH PROPERTY",0,0,1
"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",4593,5868,1080
"CLEANERS/LAUNDROMAT",0,0,1
"CLEANING STORE",1510,1575,683
"CLUB",0,0,3
"COIN OPERATED MACHINE",443,202,125
"COLLEGE/UNIVERSITY GROUNDS",1110,2269,325
"COLLEGE/UNIVERSITY RESIDENCE HALL",193,465,101
"COMMERCIAL / BUSINESS OFFICE",11104,20862,1826
"CONSTRUCTION SITE",2028,8164,267
"CONVENIENCE STORE",3900,1761,1662
"CREDIT UNION",44,276,12
"CTA BUS",8796,1334,5503
"CTA BUS STOP",1338,297,2070
"CTA GARAGE / OTHER PROPERTY",2940,1630,812
"CTA PLATFORM",6826,2292,3969
"CTA STATION",545,298,320
"CTA TRACKS - RIGHT OF WAY",23,4,5
"CTA TRAIN",10500,2282,3755
"CURRENCY EXCHANGE",1081,5598,513
"DAY CARE CENTER",771,878,316
"DELIVERY TRUCK",424,303,80
"DEPARTMENT STORE",18636,9468,1582
"DRIVEWAY",0,0,11
"DRIVEWAY - RESIDENTIAL",9584,5110,1383
"DRUG STORE",8215,2276,1111
"DUMPSTER",0,0,3
"FACTORY/MANUFACTURING BUILDING",1942,2441,674
"FEDERAL BUILDING",211,126,47
"FIRE STATION",410,354,36
"FOREST PRESERVE",82,60,76
"GANGWAY",0,0,31
"GARAGE",0,0,23
"GARAGE/AUTO REPAIR",0,0,7
"GAS STATION",18034,10151,10875
"GAS STATION DRIVE/PROP.",0,0,26
"GOVERNMENT BUILDING/PROPERTY",3852,2402,1089
"GROCERY FOOD STORE",18954,10127,5906
"HALLWAY",0,0,34
"HIGHWAY/EXPRESSWAY",182,72,146
"HOSPITAL",0,0,1
"HOSPITAL BUILDING/GROUNDS",3788,5301,2909
"HOTEL",0,0,3
"HOTEL/MOTEL",3977,9105,3509
"HOUSE",0,0,101
"JAIL / LOCK-UP FACILITY",116,75,136
"LAKE",0,0,1
"LAKEFRONT/WATERFRONT/RIVERBANK",285,287,156
"LIBRARY",1948,1326,384
"LIQUOR STORE",0,0,2
"LOADING DOCK",0,0,1
"MEDICAL/DENTAL OFFICE",2222,2405,496
"MOTEL",0,0,2
"MOVIE HOUSE/THEATER",590,798,251
"NEWSSTAND",84,63,22
"NURSING HOME/RETIREMENT HOME",2076,2384,5721
"OFFICE",0,0,7
"OTHER",66066,76566,25523
"OTHER COMMERCIAL TRANSPORTATION",623,555,468
"OTHER RAILROAD PROP / TRAIN DEPOT",1093,895,312
"PARKING LOT",0,0,63
"PARKING LOT/GARAGE(NON.RESID.)",66384,55965,18903
"PARK PROPERTY",11875,6450,12517
"PAWN SHOP",152,122,47
"POLICE FACILITY/VEH PARKING LOT",2442,1915,470
"POOL ROOM",150,207,97
"PORCH",0,0,154
"PRAIRIE",0,0,2
"RAILROAD PROPERTY",0,0,9
"RESIDENCE",220460,268459,198799
"RESIDENCE-GARAGE",38414,74302,2834
"RESIDENCE PORCH/HALLWAY",30044,13453,29222
"RESIDENTIAL YARD (FRONT/BACK)",26333,12980,7522
"RESTAURANT",23087,35295,10928
"RETAIL STORE",0,0,29
"RIVER",0,0,4
"RIVER BANK",0,0,1
"SAVINGS AND LOAN",71,110,43
"SCHOOL PRIVATE GROUNDS",4298,4963,2858
"SCHOOL PUBLIC GROUNDS",37028,28951,44971
"SCHOOL YARD",0,0,7
"SEWER",0,0,1
"SIDEWALK",64791,17361,212626
"SMALL RETAIL STORE",41108,23874,8497
"SPORTS ARENA/STADIUM",1223,1006,480
"STAIRWELL",0,0,8
"STREET",509971,366901,258045
"TAVERN",0,0,18
"TAVERN/LIQUOR STORE",4388,4403,2794
"TAXICAB",1351,2663,1013
"TAXI CAB",0,0,2
"TRAILER",0,0,1
"TRUCK",0,0,5
"TRUCKING TERMINAL",0,0,1
"VACANT LOT",0,0,55
"VACANT LOT/LAND",4084,7653,2231
"VEHICLE-COMMERCIAL",1669,1835,581
"VEHICLE - DELIVERY TRUCK",22,16,3
"VEHICLE NON-COMMERCIAL",34945,18275,11917
"VEHICLE - OTHER RIDE SERVICE",41,68,57
"VESTIBULE",0,0,7
"WAREHOUSE",1786,3968,504
"WOODED AREA",0,0,4
"YARD",0,0,100
"YMCA",0,0,1
