IUCR,Severity
110,2500
130,2500
141,1822
142,1822
261,1047
262,1047
263,1047
264,1047
265,1047
266,678
271,678
272,678
273,678
274,678
275,678
281,211
291,211
312,583
313,583
031A,583
031B,583
320,583
325,583
326,583
330,583
331,500
334,500
337,500
033A,500
033B,500
340,500
041A,583
041B,583
420,583
430,583
440,583
450,583
451,583
452,583
453,583
454,500
460,500
461,500
462,500
470,9
475,550
479,550
480,550
481,550
482,550
483,550
484,550
485,550
486,550
487,550
488,550
489,550
490,410
491,410
492,410
493,410
494,410
495,500
496,500
497,500
498,500
510,410
051A,405
051B,405
520,405
530,405
545,77
550,77
551,77
552,77
553,77
554,23
555,405
556,405
557,405
558,405
560,23
580,45
581,45
583,45
584,45
610,187
620,187
630,187
650,187
810,139
820,37
850,37
860,37
865,37
870,37
880,37
890,139
895,37
910,84
915,84
917,84
918,84
920,84
925,84
927,84
928,84
930,84
935,84
937,84
938,84
1010,172
1020,172
1025,172
1030,172
1035,172
1050,1600
1055,1600
1090,100
1110,109
1120,109
1121,109
1122,109
1130,109
1135,109
1140,109
1150,109
1151,109
1152,109
1153,109
1154,109
1155,109
1156,109
1160,109
1170,109
1185,109
1195,109
1200,109
1205,109
1206,109
1210,109
1220,109
1230,109
1235,109
1240,109
1241,109
1242,109
1245,109
1255,109
1260,109
1261,109
1265,60
1305,60
1310,60
1320,60
1330,30
1335,30
1340,60
1345,60
1350,30
1360,30
1365,30
1370,60
1375,60
141A,988
141B,988
141C,988
142A,88
142B,88
1435,88
143A,88
143B,88
143C,88
1440,88
1450,267
1460,267
1475,267
1476,267
1477,267
1478,76
1479,76
1480,76
1481,40
1505,86
1506,86
1507,86
1510,86
1511,86
1512,86
1513,86
1515,86
1520,86
1521,86
1525,86
1526,86
1530,86
1531,86
1535,50
1536,50
1537,207
1540,50
1541,50
1542,50
1544,87
1549,86
1562,87
1563,87
1564,87
1565,87
1566,87
1570,87
1572,87
1574,87
1576,87
1578,87
1580,87
1582,207
1585,87
1590,87
1610,8
1611,8
1620,8
1621,8
1622,8
1623,8
1624,8
1625,8
1626,8
1627,8
1630,8
1631,8
1632,8
1633,8
1640,8
1650,8
1651,8
1661,8
1670,8
1680,8
1681,8
1690,8
1691,8
1692,8
1693,8
1694,8
1695,8
1696,8
1697,8
1710,207
1715,207
1720,207
1725,207
1750,207
1751,207
1752,207
1753,207
1754,207
1755,207
1775,207
1780,207
1790,207
1791,207
1792,205
2010,16
2011,16
2012,16
2013,16
2014,16
2015,16
2016,16
2017,16
2018,16
2019,16
2020,7
2021,7
2022,7
2023,7
2024,7
2025,7
2026,7
2027,7
2028,7
2029,7
2030,16
2031,7
2032,16
2033,16
2034,7
2040,7
2050,35
2060,16
2070,35
2080,35
2090,16
2091,16
2092,35
2093,35
2094,7
2095,7
2110,7
2111,16
2120,16
2160,16
2170,16
2210,16
2220,16
2230,16
2240,16
2250,16
2251,16
2500,75
2840,9
2850,9
2851,9
2860,9
2870,9
2890,9
2895,9
2900,267
3000,9
3100,9
3200,9
3300,9
3400,9
3710,15
3720,15
3730,15
3731,15
3740,15
3750,15
3751,15
3760,15
3770,15
3800,15
3910,15
3920,15
3960,46
3966,46
3970,46
3975,46
3980,46
4210,205
4220,205
4230,205
4240,205
4255,205
5004,87
