IUCR,Severity
0110,7042
0130,7042
0141,1822
0142,1822
0261,1047
0262,1047
0263,1047
0264,1047
0265,1047
0266,678
0271,678
0272,678
0273,678
0274,678
0275,678
0281,211
0291,211
0312,583
0313,583
031A,583
031B,583
0320,583
0325,583
0326,583
0330,583
0331,500
0334,500
0337,500
033A,500
033B,500
0340,500
041A,583
041B,583
0420,583
0430,583
0440,583
0450,583
0451,583
0452,583
0453,583
0454,500
0460,500
0461,500
0462,500
0470,9
0475,550
0479,550
0480,550
0481,550
0482,550
0483,550
0484,550
0485,550
0486,550
0487,550
0488,550
0489,550
0490,410
0491,410
0492,410
0493,410
0494,410
0495,500
0496,500
0497,500
0498,500
0510,410
051A,405
051B,405
0520,405
0530,405
0545,77
0550,77
0551,77
0552,77
0553,77
0554,23
0555,405
0556,405
0557,405
0558,405
0560,23
0580,45
0581,45
0583,45
0584,45
0610,187
0620,187
0630,187
0650,187
0810,139
0820,37
0850,37
0860,37
0865,37
0870,37
0880,37
0890,139
0895,37
0910,84
0915,84
0917,84
0918,84
0920,84
0925,84
0927,84
0928,84
0930,84
0935,84
0937,84
0938,84
1010,172
1020,172
1025,172
1030,172
1035,172
1050,400
1055,400
1090,100
1110,109
1120,109
1121,109
1122,109
1130,109
1135,109
1140,109
1150,109
1151,109
1152,109
1153,109
1154,109
1155,109
1156,109
1160,109
1170,109
1185,109
1195,109
1200,109
1205,109
1206,109
1210,109
1220,109
1230,109
1235,109
1240,109
1241,109
1242,109
1245,109
1255,109
1260,109
1261,109
1265,60
1305,60
1310,60
1320,60
1330,30
1335,30
1340,60
1345,60
1350,30
1360,30
1365,30
1370,60
1375,60
141A,988
141B,988
141C,988
142A,88
142B,88
1435,88
143A,88
143B,88
143C,88
1440,88
1450,267
1460,267
1475,267
1476,267
1477,267
1478,76
1479,76
1480,76
1481,40
1505,86
1506,86
1507,86
1510,86
1511,86
1512,86
1513,86
1515,86
1520,86
1521,86
1525,86
1526,86
1530,86
1531,86
1535,50
1536,50
1537,207
1540,50
1541,50
1542,50
1544, 87
1549,86
1562, 87
1563, 87
1564, 87
1565, 87
1566, 87
1570, 87
1572, 87
1574, 87
1576, 87
1578, 87
1580, 87
1582,207
1585, 87
1590, 87
1610,8
1611,8
1620,8
1621,8
1622,8
1623,8
1624,8
1625,8
1626,8
1627,8
1630,8
1631,8
1632,8
1633,8
1640,8
1650,8
1651,8
1661,8
1670,8
1680,8
1681,8
1690,8
1691,8
1692,8
1693,8
1694,8
1695,8
1696,8
1697,8
1710,207
1715,207
1720,207
1725,207
1750,207
1751,207
1752,207
1753,207
1754,207
1755,207
1775,207
1780,207
1790,207
1791,207
1792,205
2010, 16
2011, 16
2012, 16
2013, 16
2014, 16
2015, 16
2016, 16
2017, 16
2018, 16
2019, 16
2020,7
2021,7
2022,7
2023,7
2024,7
2025,7
2026,7
2027,7
2028,7
2029,7
2030, 16
2031,7
2032, 16
2033, 16
2034,7
2040,7
2050, 35
2060, 16
2070, 35
2080, 35
2090, 16
2091, 16
2092, 35
2093, 35
2094,7
2095,7
2110,7
2111, 16
2120, 16
2160, 16
2170, 16
2210,16
2220,16
2230,16
2240,16
2250,16
2251,16
2500,75
2840,9
2850,9
2851,9
2860,9
2870,9
2890,9
2895,9
2900,267
3000,9
3100,9
3200,9
3300,9
3400,9
3710, 15
3720, 15
3730, 15
3731, 15
3740, 15
3750, 15
3751, 15
3760, 15
3770, 15
3800, 15
3910, 15
3920, 15
3960,46
3966,46
3970,46
3975,46
3980,46
4210,205
4220,205
4230,205
4240,205
4255,205
5004, 87
