HOMICIDE,7042
HOMICIDE_M,1822
Attempted murder,1411
CRIM SEXUAL ASSAULT 3,1047
WEAPONS VIOLATION 1,988
CRIM SEXUAL ASSAULT 2,678
AG ROBBERY,583
AG BATTERY,583
ROBBERY,500
BATTERY 1,550
BATTERY,500
RITUALISM,410
ASSAULT 3,405
HUMAN TRAFFICKING,400
WEAPONS VIOLATION 3,267
CRIM SEXUAL ASSAULT 1,211
OFFENSE INVOLVING CHILDREN,207
KIDNAPPING,205
BURGLARY,187
ARSON,172
THEFT 2,139
DECEPTIVE PRACTICE,109
ATTEMPTED ARSON,100
WEAPONS VIOLATION 2,88
SEX OFFENSE, 87
PROSTITUTION,86
MOTOR VEHICLE THEFT,84
ASSAULT 2,77
CONCEALED CARRY LICENSE VIOLATION,76
CRIMINAL ABORTION,75
CRIMINAL DAMAGE,60
OBSCENITY,50
INTIMIDATION,46
STALKING,45
NON-CRIMINAL,40
THEFT 1,37
NARCOTICS 1, 35
CRIMINAL TRESPASS,30
ASSAULT 1,23
LIQUOR LAW VIOLATION,16
NARCOTICS 2, 16
INTERFERENCE WITH PUBLIC OFFICER, 15
PUBLIC PEACE VIOLATION,9
GAMBLING,8
NARCOTICS 3,7
